PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,TIME_REMAINING_SEC,EXPECTED_FG
Drake Powell,Brooklyn Nets,3,0,37,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),15,-93,120,1,37,0.4404688469201854
Franz Wagner,Orlando Magic,3,0,28,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),28,-26,281,0,28,0.2999799623787876
Tyrese Martin,Brooklyn Nets,3,0,2,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,18,17,1,2,0.5870446664629109
Michael Porter Jr.,Brooklyn Nets,4,11,41,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,-20,32,0,701,0.5945571876366769
Day'Ron Sharpe,Brooklyn Nets,4,11,38,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-163,179,0,698,0.3600650447069617
Franz Wagner,Orlando Magic,4,11,18,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,1,21,1,678,0.6050180696993156
Michael Porter Jr.,Brooklyn Nets,4,11,2,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,64,115,0,662,0.48007922527604346
Franz Wagner,Orlando Magic,4,10,40,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),7,55,44,0,640,0.5490798207595357
Ziaire Williams,Brooklyn Nets,4,10,28,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-25,10,1,628,0.6039609080256659
Ziaire Williams,Brooklyn Nets,4,9,41,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),10,32,105,0,581,0.5108302915522677
Desmond Bane,Orlando Magic,4,9,31,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,18,18,1,571,0.6018208759537274
Ziaire Williams,Brooklyn Nets,4,9,15,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,123,225,0,555,0.3439962335075247
Tyrese Martin,Brooklyn Nets,4,9,8,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,64,253,0,548,0.33241354147678237
Desmond Bane,Orlando Magic,4,9,3,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,23,21,1,543,0.5901921250781589
Egor Dëmin,Brooklyn Nets,4,8,40,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),19,-39,189,0,520,0.40614026264932246
Desmond Bane,Orlando Magic,4,8,24,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),26,64,260,1,504,0.3307708928190845
Desmond Bane,Orlando Magic,4,8,10,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,-72,257,0,490,0.33021304448367317
Michael Porter Jr.,Brooklyn Nets,4,7,55,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,1,1,1,475,0.6205496434941666
Noah Clowney,Brooklyn Nets,4,7,20,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,225,47,0,440,0.3803748444414421
Franz Wagner,Orlando Magic,4,7,0,Driving Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),11,109,27,0,420,0.4990680641553966
Terance Mann,Brooklyn Nets,4,6,50,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,151,215,1,410,0.3304351893044919
Desmond Bane,Orlando Magic,4,6,21,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),4,33,33,0,381,0.5736369058998542
Tristan da Silva,Orlando Magic,4,5,55,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,131,225,0,355,0.3282834842354463
Egor Dëmin,Brooklyn Nets,4,5,42,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-153,204,0,342,0.3380932792202268
Jalen Suggs,Orlando Magic,4,5,28,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16,61,155,1,328,0.43415039685442297
Egor Dëmin,Brooklyn Nets,4,5,6,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-112,231,1,306,0.33576153756382876
Michael Porter Jr.,Brooklyn Nets,4,4,35,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-168,183,0,275,0.34701870081560476
Jalen Suggs,Orlando Magic,4,4,24,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,124,233,0,264,0.3252163528285231
Jonathan Isaac,Orlando Magic,4,4,11,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,7,12,1,251,0.6024739652850554
Egor Dëmin,Brooklyn Nets,4,3,53,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,-2,0,0,233,0.6130043405356509
Desmond Bane,Orlando Magic,4,3,48,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,28,20,0,228,0.5801103519677551
