PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,TIME_REMAINING_SEC,EXPECTED_FG
Alperen Sengun,Houston Rockets,1,11,36,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-179,179,0,696,0.35951466234626756
Chet Holmgren,Oklahoma City Thunder,1,11,26,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,0,13,1,686,0.6260281824941516
Amen Thompson,Houston Rockets,1,11,8,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,233,0,0,668,0.3895908024765831
Jabari Smith Jr.,Houston Rockets,1,11,2,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,-7,-5,1,662,0.6364432761217141
Chet Holmgren,Oklahoma City Thunder,1,10,50,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),7,64,39,1,650,0.5600789954416866
Alperen Sengun,Houston Rockets,1,10,24,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),14,72,126,0,624,0.4777330934723908
Kevin Durant,Houston Rockets,1,10,7,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,0,-1,1,607,0.6345602994433498
Chet Holmgren,Oklahoma City Thunder,1,9,52,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,59,116,1,592,0.48817757485798813
Jabari Smith Jr.,Houston Rockets,1,9,35,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,164,201,1,575,0.3554657823141531
Cason Wallace,Oklahoma City Thunder,1,9,21,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,74,251,0,561,0.3423080666255077
Kevin Durant,Houston Rockets,1,9,6,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),9,85,37,0,546,0.5350474233485901
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,8,57,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-217,132,0,537,0.3570033136691482
Luguentz Dort,Oklahoma City Thunder,1,8,49,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,-10,11,1,529,0.6212197399560722
Amen Thompson,Houston Rockets,1,8,20,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,227,38,0,500,0.3822708715198929
Amen Thompson,Houston Rockets,1,8,17,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),3,5,35,1,497,0.5980448220155818
Jabari Smith Jr.,Houston Rockets,1,8,3,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,168,203,0,483,0.34261183072257706
Isaiah Hartenstein,Oklahoma City Thunder,1,7,49,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),11,9,115,0,469,0.5060060128194015
Isaiah Hartenstein,Oklahoma City Thunder,1,7,45,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8,-76,33,0,465,0.5431283034367788
Chet Holmgren,Oklahoma City Thunder,1,7,42,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),23,211,97,1,462,0.3779241902403426
Amen Thompson,Houston Rockets,1,7,26,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),23,-1,231,1,446,0.36989620535852713
Chet Holmgren,Oklahoma City Thunder,1,7,10,Jump Shot,2PT Field Goal,Mid-Range,Center(C),13,-4,139,1,430,0.4813630060549682
Alperen Sengun,Houston Rockets,1,6,52,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-4,-10,1,412,0.6186859253778196
Amen Thompson,Houston Rockets,1,6,29,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,21,130,1,389,0.4805703856213162
Luguentz Dort,Oklahoma City Thunder,1,6,16,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,99,248,0,376,0.3370072734073493
Kevin Durant,Houston Rockets,1,5,56,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),5,7,53,1,356,0.5711817992454372
Jaylin Williams,Oklahoma City Thunder,1,5,43,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16,-168,8,1,343,0.45259262929856076
Amen Thompson,Houston Rockets,1,5,31,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,11,-6,1,331,0.6159689953806697
Kevin Durant,Houston Rockets,1,4,53,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-195,157,0,293,0.34837829576915813
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,4,39,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,16,13,1,279,0.6028603017378114
Kevin Durant,Houston Rockets,1,4,25,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),11,82,78,0,265,0.5014938007245858
Luguentz Dort,Oklahoma City Thunder,1,4,17,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,11,8,1,257,0.612897607782271
Aaron Wiggins,Oklahoma City Thunder,1,3,43,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,223,2,0,223,0.3858755029923664
Kevin Durant,Houston Rockets,1,3,0,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16,-49,155,1,180,0.4393820953213926
Jaylin Williams,Oklahoma City Thunder,1,2,47,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,116,237,0,167,0.33142186558121994
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,2,10,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),15,-26,148,0,130,0.4490398533205176
Aaron Wiggins,Oklahoma City Thunder,1,1,54,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-230,116,1,114,0.3450045768461719
Reed Sheppard,Houston Rockets,1,1,37,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),28,135,255,1,97,0.30942227795419186
Alex Caruso,Oklahoma City Thunder,1,1,23,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,183,172,0,83,0.342156387640548
Clint Capela,Houston Rockets,1,1,2,Hook Shot,2PT Field Goal,Restricted Area,Center(C),2,-4,25,1,62,0.5952486228933163
Tari Eason,Houston Rockets,1,0,46,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-11,-12,0,46,0.6072527851592651
Kevin Durant,Houston Rockets,1,0,37,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,120,226,0,37,0.3379265100074617
Alperen Sengun,Houston Rockets,1,0,19,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),20,-196,50,0,19,0.39681877633250673
Amen Thompson,Houston Rockets,2,11,16,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24,-233,87,0,676,0.3705077331097748
Chet Holmgren,Oklahoma City Thunder,2,11,9,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-7,15,1,669,0.622093570037855
Josh Okogie,Houston Rockets,2,10,21,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),23,-179,159,1,621,0.37542411083093524
Aaron Wiggins,Oklahoma City Thunder,2,10,1,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-7,25,1,601,0.6090250770405358
Alperen Sengun,Houston Rockets,2,9,52,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24,-11,246,1,592,0.36015171894417924
Ajay Mitchell,Oklahoma City Thunder,2,9,36,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),6,40,54,0,576,0.5641490628439394
Ajay Mitchell,Oklahoma City Thunder,2,9,32,Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-20,12,1,572,0.6087731701246732
Tari Eason,Houston Rockets,2,9,14,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,169,199,1,554,0.34178664644309226
Alex Caruso,Oklahoma City Thunder,2,8,59,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,156,191,1,539,0.3617562642925793
Chet Holmgren,Oklahoma City Thunder,2,8,29,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),22,181,139,1,509,0.3841678611561872
Amen Thompson,Houston Rockets,2,8,19,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,11,-4,0,499,0.6178244624999807
Ajay Mitchell,Oklahoma City Thunder,2,7,59,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),12,-102,80,0,479,0.4935416965873932
Reed Sheppard,Houston Rockets,2,7,42,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-131,209,0,462,0.35782168341684617
Ajay Mitchell,Oklahoma City Thunder,2,7,25,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,194,164,1,445,0.35029399442212567
Kevin Durant,Houston Rockets,2,6,59,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),14,74,126,0,419,0.46746813228030804
Reed Sheppard,Houston Rockets,2,6,54,Jump Bank Shot,3PT Field Goal,Above the Break 3,Center(C),26,-18,263,1,414,0.33400395163749025
Isaiah Hartenstein,Oklahoma City Thunder,2,6,40,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-229,-14,0,400,0.38792606899202847
Ajay Mitchell,Oklahoma City Thunder,2,6,20,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8,-37,75,0,380,0.5345991028797495
Luguentz Dort,Oklahoma City Thunder,2,6,15,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,142,212,0,375,0.3456250517180332
Steven Adams,Houston Rockets,2,6,7,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,11,4,0,367,0.6132535215175852
Steven Adams,Houston Rockets,2,6,3,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,13,17,0,363,0.601955892684221
Chet Holmgren,Oklahoma City Thunder,2,5,51,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8,49,70,0,351,0.5341310692850526
Shai Gilgeous-Alexander,Oklahoma City Thunder,2,5,31,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),16,9,162,0,331,0.44062448748216587
Luguentz Dort,Oklahoma City Thunder,2,5,16,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),21,-210,60,0,316,0.3918225885805233
Ajay Mitchell,Oklahoma City Thunder,2,4,51,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-207,168,0,291,0.33470455810708144
Amen Thompson,Houston Rockets,2,4,35,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-228,67,0,275,0.3694067195601565
Ajay Mitchell,Oklahoma City Thunder,2,4,27,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-229,-3,1,267,0.3831593154352724
Reed Sheppard,Houston Rockets,2,4,6,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-146,203,0,246,0.3415809878218038
Alperen Sengun,Houston Rockets,2,3,52,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),15,147,46,0,232,0.4550198714554174
Ajay Mitchell,Oklahoma City Thunder,2,3,31,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-132,225,0,211,0.3296736303254061
Jabari Smith Jr.,Houston Rockets,2,3,4,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-224,-21,0,184,0.38152389548806537
Alperen Sengun,Houston Rockets,2,3,2,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,0,0,0,182,0.618031994338913
Kevin Durant,Houston Rockets,2,2,46,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),13,81,106,1,166,0.4711887346443983
Jaylin Williams,Oklahoma City Thunder,2,2,35,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-185,180,0,155,0.33994182940049095
Kevin Durant,Houston Rockets,2,2,15,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),19,-45,192,1,135,0.4004043581395681
Luguentz Dort,Oklahoma City Thunder,2,2,3,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),27,167,216,0,123,0.3185726398602508
Jaylin Williams,Oklahoma City Thunder,2,1,58,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),27,-151,228,0,118,0.3171668697822755
Alperen Sengun,Houston Rockets,2,1,44,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,158,193,1,104,0.34843798214676364
Jaylin Williams,Oklahoma City Thunder,2,1,32,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-191,185,0,92,0.32804202949915195
Amen Thompson,Houston Rockets,2,1,9,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-202,148,0,69,0.3389561070978364
Shai Gilgeous-Alexander,Oklahoma City Thunder,2,0,56,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,16,16,1,56,0.5922151293658062
Kevin Durant,Houston Rockets,2,0,38,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),12,-93,77,1,38,0.47911158846146396
Chet Holmgren,Oklahoma City Thunder,2,0,22,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-225,143,0,22,0.32799916872599466
Ajay Mitchell,Oklahoma City Thunder,2,0,0,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,219,126,1,0,0.3389380953030271
Chet Holmgren,Oklahoma City Thunder,3,11,47,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,169,192,0,707,0.3535424748886955
Jabari Smith Jr.,Houston Rockets,3,11,31,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-11,13,1,691,0.6195824975631758
Cason Wallace,Oklahoma City Thunder,3,11,16,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-99,227,0,676,0.36027908916198664
Kevin Durant,Houston Rockets,3,11,2,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8,82,5,1,662,0.5446146781535361
Luguentz Dort,Oklahoma City Thunder,3,10,47,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),9,-77,58,0,647,0.529845365563437
Amen Thompson,Houston Rockets,3,10,13,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,2,13,1,613,0.6171696719080487
Jabari Smith Jr.,Houston Rockets,3,9,46,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-228,-35,0,586,0.3811707431772351
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,9,39,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24,15,248,0,579,0.35649225536711865
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,9,12,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),12,-75,95,1,552,0.4916893740541255
Alex Caruso,Oklahoma City Thunder,3,8,55,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,-2,1,1,535,0.6256997944113866
Jabari Smith Jr.,Houston Rockets,3,8,28,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),12,50,111,0,508,0.4896391937166806
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,8,17,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),12,56,113,1,497,0.48917689910455414
Cason Wallace,Oklahoma City Thunder,3,7,43,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,174,190,1,463,0.346289504625444
Alperen Sengun,Houston Rockets,3,7,25,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8,64,55,0,445,0.534627234680554
Alperen Sengun,Houston Rockets,3,7,13,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-16,17,1,433,0.6007592849173884
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,7,2,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24,59,237,0,422,0.3523885722601448
Chet Holmgren,Oklahoma City Thunder,3,6,52,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),11,-61,103,0,412,0.4976181601737377
Cason Wallace,Oklahoma City Thunder,3,6,37,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,229,-33,0,397,0.3762200041744734
Alperen Sengun,Houston Rockets,3,6,24,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-227,36,0,384,0.38145772945348166
Tari Eason,Houston Rockets,3,5,55,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,227,4,0,355,0.3832993510324521
Aaron Wiggins,Oklahoma City Thunder,3,5,38,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-225,-32,0,338,0.3836266339745144
Luguentz Dort,Oklahoma City Thunder,3,5,33,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,135,230,0,333,0.33049101894440364
Tari Eason,Houston Rockets,3,5,13,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,-53,262,0,313,0.3279102167060453
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,5,3,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,13,-15,1,303,0.6089268812297435
Reed Sheppard,Houston Rockets,3,4,47,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16,-78,144,0,287,0.43652477701378634
Steven Adams,Houston Rockets,3,4,43,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,0,0,0,283,0.6178921846575863
Steven Adams,Houston Rockets,3,4,41,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,0,0,1,281,0.6178295117483131
Cason Wallace,Oklahoma City Thunder,3,4,33,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,10,-2,1,273,0.6072753779505524
Cason Wallace,Oklahoma City Thunder,3,4,5,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,230,-15,0,245,0.37055681716939487
Cason Wallace,Oklahoma City Thunder,3,3,52,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,9,1,1,232,0.6162606269519377
Reed Sheppard,Houston Rockets,3,3,36,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),30,-184,248,0,216,0.2881265133097688
Aaron Wiggins,Oklahoma City Thunder,3,3,26,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,105,239,1,206,0.3262629656791376
Amen Thompson,Houston Rockets,3,3,8,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-132,230,0,188,0.32567028436900775
Kevin Durant,Houston Rockets,3,2,57,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-135,233,0,177,0.3251954510237403
Aaron Wiggins,Oklahoma City Thunder,3,2,41,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,15,-15,0,161,0.5938777822553052
Tari Eason,Houston Rockets,3,2,22,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-174,202,0,142,0.32561952031607605
Reed Sheppard,Houston Rockets,3,2,15,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),14,143,20,1,135,0.4607004609203941
Alex Caruso,Oklahoma City Thunder,3,2,4,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-195,147,1,124,0.3474207461284861
Alperen Sengun,Houston Rockets,3,1,48,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-206,168,1,108,0.3262361985587444
Chet Holmgren,Oklahoma City Thunder,3,1,38,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,137,208,0,98,0.34427970135567504
Tari Eason,Houston Rockets,3,1,5,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,21,20,0,65,0.5889142511255159
Aaron Wiggins,Oklahoma City Thunder,3,0,53,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,9,0,1,53,0.6106805891940453
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,0,34,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,-7,3,0,34,0.6098832326029288
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,0,1,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-83,235,0,1,0.3395324984013461
Reed Sheppard,Houston Rockets,4,11,38,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,222,-36,0,698,0.3929069222496378
Ajay Mitchell,Oklahoma City Thunder,4,11,31,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,-10,-16,1,691,0.6178188727181649
Alperen Sengun,Houston Rockets,4,11,23,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),27,0,278,1,683,0.32528873147903914
Ajay Mitchell,Oklahoma City Thunder,4,11,3,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),3,-39,6,1,663,0.594703645256806
Josh Okogie,Houston Rockets,4,10,42,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,227,-22,0,642,0.39039885615230174
Aaron Wiggins,Oklahoma City Thunder,4,10,32,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24,38,246,0,632,0.35505113335836314
Jabari Smith Jr.,Houston Rockets,4,10,7,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),18,-118,148,1,607,0.42164817421992584
Alex Caruso,Oklahoma City Thunder,4,9,51,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-192,152,0,591,0.3581263288192427
Reed Sheppard,Houston Rockets,4,9,36,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),14,58,132,0,576,0.46531261066654933
Chet Holmgren,Oklahoma City Thunder,4,9,21,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,-12,-4,1,561,0.6130931802673313
Alperen Sengun,Houston Rockets,4,9,7,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,219,123,1,547,0.34915574444083025
Isaiah Hartenstein,Oklahoma City Thunder,4,8,50,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,64,117,1,530,0.4755960445676213
Josh Okogie,Houston Rockets,4,7,56,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-233,-22,0,476,0.37375382727772816
Alperen Sengun,Houston Rockets,4,7,29,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),20,-5,205,1,449,0.3925553259024888
Ajay Mitchell,Oklahoma City Thunder,4,7,7,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,230,47,0,427,0.36967965486646337
Luguentz Dort,Oklahoma City Thunder,4,6,33,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,205,141,0,393,0.35356330838583044
Alperen Sengun,Houston Rockets,4,6,15,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),18,77,163,0,375,0.4138059729214707
Shai Gilgeous-Alexander,Oklahoma City Thunder,4,6,4,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,17,-1,1,364,0.6067803651755872
Jabari Smith Jr.,Houston Rockets,4,5,49,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,1,17,1,349,0.6053025795983152
Luguentz Dort,Oklahoma City Thunder,4,5,27,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-225,-16,0,327,0.3791323833612797
Alperen Sengun,Houston Rockets,4,5,4,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),28,-185,215,0,304,0.30757024003773537
Jabari Smith Jr.,Houston Rockets,4,4,37,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,118,237,0,277,0.32538497643046627
Kevin Durant,Houston Rockets,4,4,32,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),19,-129,149,1,272,0.40016858933662564
Shai Gilgeous-Alexander,Oklahoma City Thunder,4,4,20,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),14,-82,120,1,260,0.45522177252275775
Amen Thompson,Houston Rockets,4,4,0,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),6,55,32,1,240,0.547485771557566
Shai Gilgeous-Alexander,Oklahoma City Thunder,4,3,20,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),12,-124,-11,0,200,0.48234688866207576
Isaiah Hartenstein,Oklahoma City Thunder,4,3,17,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,0,0,1,197,0.611874929136841
Amen Thompson,Houston Rockets,4,2,58,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-2,26,1,178,0.5887755796132809
Chet Holmgren,Oklahoma City Thunder,4,2,33,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),4,42,-12,1,153,0.5687216067129591
Amen Thompson,Houston Rockets,4,2,10,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,5,27,1,130,0.5871945267822727
Cason Wallace,Oklahoma City Thunder,4,2,1,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,184,189,1,121,0.32335158617395704
Shai Gilgeous-Alexander,Oklahoma City Thunder,4,1,34,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),18,-151,108,1,94,0.407227199791657
Amen Thompson,Houston Rockets,4,1,14,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),7,-71,-13,0,74,0.5332989953291064
Luguentz Dort,Oklahoma City Thunder,4,0,55,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,147,218,0,55,0.3199403251022622
Alperen Sengun,Houston Rockets,4,0,38,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),6,13,64,1,38,0.5389484551945797
Cason Wallace,Oklahoma City Thunder,4,0,33,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,154,198,0,33,0.32994165526335617
Shai Gilgeous-Alexander,Oklahoma City Thunder,4,0,2,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),15,-126,96,1,2,0.437125256416664
Alperen Sengun,Houston Rockets,4,0,0,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),12,49,120,0,0,0.46881586558703453
Amen Thompson,Houston Rockets,5,4,45,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,230,-4,0,285,0.364708925012123
Shai Gilgeous-Alexander,Oklahoma City Thunder,5,4,27,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16,-66,148,0,267,0.428810306257126
Chet Holmgren,Oklahoma City Thunder,5,4,15,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-224,10,1,255,0.37224139560449376
Jabari Smith Jr.,Houston Rockets,5,3,56,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),14,-146,-9,0,236,0.4579889501934821
Shai Gilgeous-Alexander,Oklahoma City Thunder,5,3,36,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),25,54,247,1,216,0.3295672991491682
Alperen Sengun,Houston Rockets,5,3,14,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),7,-16,71,1,194,0.5292174728385297
Shai Gilgeous-Alexander,Oklahoma City Thunder,5,2,46,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),14,-55,130,1,166,0.448175129650115
