PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
Alperen Sengun,Houston Rockets,1,11,36,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-179,179,0
Chet Holmgren,Oklahoma City Thunder,1,11,26,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,0,13,1
Amen Thompson,Houston Rockets,1,11,8,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,233,0,0
Jabari Smith Jr.,Houston Rockets,1,11,2,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,-7,-5,1
Chet Holmgren,Oklahoma City Thunder,1,10,50,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),7,64,39,1
Alperen Sengun,Houston Rockets,1,10,24,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),14,72,126,0
Kevin Durant,Houston Rockets,1,10,7,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,0,-1,1
Chet Holmgren,Oklahoma City Thunder,1,9,52,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,59,116,1
Jabari Smith Jr.,Houston Rockets,1,9,35,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,164,201,1
Cason Wallace,Oklahoma City Thunder,1,9,21,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,74,251,0
Kevin Durant,Houston Rockets,1,9,6,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),9,85,37,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,8,57,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-217,132,0
Luguentz Dort,Oklahoma City Thunder,1,8,49,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,-10,11,1
Amen Thompson,Houston Rockets,1,8,20,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,227,38,0
Amen Thompson,Houston Rockets,1,8,17,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),3,5,35,1
Jabari Smith Jr.,Houston Rockets,1,8,3,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,168,203,0
Isaiah Hartenstein,Oklahoma City Thunder,1,7,49,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),11,9,115,0
Isaiah Hartenstein,Oklahoma City Thunder,1,7,45,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8,-76,33,0
Chet Holmgren,Oklahoma City Thunder,1,7,42,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),23,211,97,1
Amen Thompson,Houston Rockets,1,7,26,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),23,-1,231,1
Chet Holmgren,Oklahoma City Thunder,1,7,10,Jump Shot,2PT Field Goal,Mid-Range,Center(C),13,-4,139,1
Alperen Sengun,Houston Rockets,1,6,52,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-4,-10,1
Amen Thompson,Houston Rockets,1,6,29,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,21,130,1
Luguentz Dort,Oklahoma City Thunder,1,6,16,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,99,248,0
Kevin Durant,Houston Rockets,1,5,56,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),5,7,53,1
Jaylin Williams,Oklahoma City Thunder,1,5,43,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16,-168,8,1
Amen Thompson,Houston Rockets,1,5,31,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,11,-6,1
Kevin Durant,Houston Rockets,1,4,53,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-195,157,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,4,39,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,16,13,1
Kevin Durant,Houston Rockets,1,4,25,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),11,82,78,0
Luguentz Dort,Oklahoma City Thunder,1,4,17,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,11,8,1
Aaron Wiggins,Oklahoma City Thunder,1,3,43,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,223,2,0
Kevin Durant,Houston Rockets,1,3,0,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16,-49,155,1
Jaylin Williams,Oklahoma City Thunder,1,2,47,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,116,237,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,2,10,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),15,-26,148,0
Aaron Wiggins,Oklahoma City Thunder,1,1,54,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-230,116,1
Reed Sheppard,Houston Rockets,1,1,37,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),28,135,255,1
Alex Caruso,Oklahoma City Thunder,1,1,23,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,183,172,0
Clint Capela,Houston Rockets,1,1,2,Hook Shot,2PT Field Goal,Restricted Area,Center(C),2,-4,25,1
Tari Eason,Houston Rockets,1,0,46,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-11,-12,0
Kevin Durant,Houston Rockets,1,0,37,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,120,226,0
Alperen Sengun,Houston Rockets,1,0,19,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),20,-196,50,0
Amen Thompson,Houston Rockets,2,11,16,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24,-233,87,0
Chet Holmgren,Oklahoma City Thunder,2,11,9,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-7,15,1
Josh Okogie,Houston Rockets,2,10,21,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),23,-179,159,1
Aaron Wiggins,Oklahoma City Thunder,2,10,1,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-7,25,1
Alperen Sengun,Houston Rockets,2,9,52,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24,-11,246,1
Ajay Mitchell,Oklahoma City Thunder,2,9,36,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),6,40,54,0
Ajay Mitchell,Oklahoma City Thunder,2,9,32,Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-20,12,1
Tari Eason,Houston Rockets,2,9,14,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,169,199,1
Alex Caruso,Oklahoma City Thunder,2,8,59,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,156,191,1
Chet Holmgren,Oklahoma City Thunder,2,8,29,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),22,181,139,1
Amen Thompson,Houston Rockets,2,8,19,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,11,-4,0
Ajay Mitchell,Oklahoma City Thunder,2,7,59,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),12,-102,80,0
Reed Sheppard,Houston Rockets,2,7,42,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-131,209,0
Ajay Mitchell,Oklahoma City Thunder,2,7,25,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,194,164,1
Kevin Durant,Houston Rockets,2,6,59,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),14,74,126,0
Reed Sheppard,Houston Rockets,2,6,54,Jump Bank Shot,3PT Field Goal,Above the Break 3,Center(C),26,-18,263,1
Isaiah Hartenstein,Oklahoma City Thunder,2,6,40,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-229,-14,0
Ajay Mitchell,Oklahoma City Thunder,2,6,20,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8,-37,75,0
Luguentz Dort,Oklahoma City Thunder,2,6,15,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,142,212,0
Steven Adams,Houston Rockets,2,6,7,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,11,4,0
Steven Adams,Houston Rockets,2,6,3,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,13,17,0
Chet Holmgren,Oklahoma City Thunder,2,5,51,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8,49,70,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,2,5,31,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),16,9,162,0
Luguentz Dort,Oklahoma City Thunder,2,5,16,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),21,-210,60,0
Ajay Mitchell,Oklahoma City Thunder,2,4,51,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-207,168,0
Amen Thompson,Houston Rockets,2,4,35,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-228,67,0
Ajay Mitchell,Oklahoma City Thunder,2,4,27,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-229,-3,1
Reed Sheppard,Houston Rockets,2,4,6,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-146,203,0
Alperen Sengun,Houston Rockets,2,3,52,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),15,147,46,0
Ajay Mitchell,Oklahoma City Thunder,2,3,31,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-132,225,0
Jabari Smith Jr.,Houston Rockets,2,3,4,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-224,-21,0
Alperen Sengun,Houston Rockets,2,3,2,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,0,0,0
Kevin Durant,Houston Rockets,2,2,46,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),13,81,106,1
Jaylin Williams,Oklahoma City Thunder,2,2,35,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-185,180,0
Kevin Durant,Houston Rockets,2,2,15,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),19,-45,192,1
Luguentz Dort,Oklahoma City Thunder,2,2,3,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),27,167,216,0
Jaylin Williams,Oklahoma City Thunder,2,1,58,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),27,-151,228,0
Alperen Sengun,Houston Rockets,2,1,44,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,158,193,1
Jaylin Williams,Oklahoma City Thunder,2,1,32,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-191,185,0
Amen Thompson,Houston Rockets,2,1,9,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-202,148,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,2,0,56,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,16,16,1
Kevin Durant,Houston Rockets,2,0,38,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),12,-93,77,1
Chet Holmgren,Oklahoma City Thunder,2,0,22,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-225,143,0
Ajay Mitchell,Oklahoma City Thunder,2,0,0,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,219,126,1
Chet Holmgren,Oklahoma City Thunder,3,11,47,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,169,192,0
Jabari Smith Jr.,Houston Rockets,3,11,31,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-11,13,1
Cason Wallace,Oklahoma City Thunder,3,11,16,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-99,227,0
Kevin Durant,Houston Rockets,3,11,2,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8,82,5,1
Luguentz Dort,Oklahoma City Thunder,3,10,47,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),9,-77,58,0
Amen Thompson,Houston Rockets,3,10,13,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,2,13,1
Jabari Smith Jr.,Houston Rockets,3,9,46,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-228,-35,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,9,39,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24,15,248,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,9,12,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),12,-75,95,1
Alex Caruso,Oklahoma City Thunder,3,8,55,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,-2,1,1
Jabari Smith Jr.,Houston Rockets,3,8,28,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),12,50,111,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,8,17,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),12,56,113,1
Cason Wallace,Oklahoma City Thunder,3,7,43,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,174,190,1
Alperen Sengun,Houston Rockets,3,7,25,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8,64,55,0
Alperen Sengun,Houston Rockets,3,7,13,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-16,17,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,7,2,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24,59,237,0
Chet Holmgren,Oklahoma City Thunder,3,6,52,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),11,-61,103,0
Cason Wallace,Oklahoma City Thunder,3,6,37,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,229,-33,0
Alperen Sengun,Houston Rockets,3,6,24,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-227,36,0
Tari Eason,Houston Rockets,3,5,55,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,227,4,0
Aaron Wiggins,Oklahoma City Thunder,3,5,38,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-225,-32,0
Luguentz Dort,Oklahoma City Thunder,3,5,33,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,135,230,0
Tari Eason,Houston Rockets,3,5,13,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,-53,262,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,5,3,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,13,-15,1
Reed Sheppard,Houston Rockets,3,4,47,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16,-78,144,0
Steven Adams,Houston Rockets,3,4,43,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,0,0,0
Steven Adams,Houston Rockets,3,4,41,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,0,0,1
Cason Wallace,Oklahoma City Thunder,3,4,33,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,10,-2,1
Cason Wallace,Oklahoma City Thunder,3,4,5,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,230,-15,0
Cason Wallace,Oklahoma City Thunder,3,3,52,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,9,1,1
Reed Sheppard,Houston Rockets,3,3,36,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),30,-184,248,0
Aaron Wiggins,Oklahoma City Thunder,3,3,26,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,105,239,1
Amen Thompson,Houston Rockets,3,3,8,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-132,230,0
Kevin Durant,Houston Rockets,3,2,57,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-135,233,0
Aaron Wiggins,Oklahoma City Thunder,3,2,41,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,15,-15,0
Tari Eason,Houston Rockets,3,2,22,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-174,202,0
Reed Sheppard,Houston Rockets,3,2,15,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),14,143,20,1
Alex Caruso,Oklahoma City Thunder,3,2,4,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-195,147,1
Alperen Sengun,Houston Rockets,3,1,48,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-206,168,1
Chet Holmgren,Oklahoma City Thunder,3,1,38,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,137,208,0
Tari Eason,Houston Rockets,3,1,5,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,21,20,0
Aaron Wiggins,Oklahoma City Thunder,3,0,53,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,9,0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,0,34,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,-7,3,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,3,0,1,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-83,235,0
Reed Sheppard,Houston Rockets,4,11,38,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,222,-36,0
Ajay Mitchell,Oklahoma City Thunder,4,11,31,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,-10,-16,1
Alperen Sengun,Houston Rockets,4,11,23,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),27,0,278,1
Ajay Mitchell,Oklahoma City Thunder,4,11,3,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),3,-39,6,1
Josh Okogie,Houston Rockets,4,10,42,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),22,227,-22,0
Aaron Wiggins,Oklahoma City Thunder,4,10,32,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24,38,246,0
Jabari Smith Jr.,Houston Rockets,4,10,7,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),18,-118,148,1
Alex Caruso,Oklahoma City Thunder,4,9,51,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-192,152,0
Reed Sheppard,Houston Rockets,4,9,36,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),14,58,132,0
Chet Holmgren,Oklahoma City Thunder,4,9,21,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,-12,-4,1
Alperen Sengun,Houston Rockets,4,9,7,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,219,123,1
Isaiah Hartenstein,Oklahoma City Thunder,4,8,50,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,64,117,1
Josh Okogie,Houston Rockets,4,7,56,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-233,-22,0
Alperen Sengun,Houston Rockets,4,7,29,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),20,-5,205,1
Ajay Mitchell,Oklahoma City Thunder,4,7,7,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,230,47,0
Luguentz Dort,Oklahoma City Thunder,4,6,33,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,205,141,0
Alperen Sengun,Houston Rockets,4,6,15,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),18,77,163,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,4,6,4,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,17,-1,1
Jabari Smith Jr.,Houston Rockets,4,5,49,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,1,17,1
Luguentz Dort,Oklahoma City Thunder,4,5,27,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-225,-16,0
Alperen Sengun,Houston Rockets,4,5,4,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),28,-185,215,0
Jabari Smith Jr.,Houston Rockets,4,4,37,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,118,237,0
Kevin Durant,Houston Rockets,4,4,32,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),19,-129,149,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,4,4,20,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),14,-82,120,1
Amen Thompson,Houston Rockets,4,4,0,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),6,55,32,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,4,3,20,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),12,-124,-11,0
Isaiah Hartenstein,Oklahoma City Thunder,4,3,17,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,0,0,1
Amen Thompson,Houston Rockets,4,2,58,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-2,26,1
Chet Holmgren,Oklahoma City Thunder,4,2,33,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),4,42,-12,1
Amen Thompson,Houston Rockets,4,2,10,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,5,27,1
Cason Wallace,Oklahoma City Thunder,4,2,1,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,184,189,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,4,1,34,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),18,-151,108,1
Amen Thompson,Houston Rockets,4,1,14,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),7,-71,-13,0
Luguentz Dort,Oklahoma City Thunder,4,0,55,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,147,218,0
Alperen Sengun,Houston Rockets,4,0,38,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),6,13,64,1
Cason Wallace,Oklahoma City Thunder,4,0,33,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,154,198,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,4,0,2,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),15,-126,96,1
Alperen Sengun,Houston Rockets,4,0,0,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),12,49,120,0
Amen Thompson,Houston Rockets,5,4,45,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,230,-4,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,5,4,27,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16,-66,148,0
Chet Holmgren,Oklahoma City Thunder,5,4,15,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-224,10,1
Jabari Smith Jr.,Houston Rockets,5,3,56,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),14,-146,-9,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,5,3,36,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),25,54,247,1
Alperen Sengun,Houston Rockets,5,3,14,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),7,-16,71,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,5,2,46,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),14,-55,130,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,5,2,16,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-159,203,0
Jabari Smith Jr.,Houston Rockets,5,2,0,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-233,-6,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,5,1,37,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),25,-61,251,0
Chet Holmgren,Oklahoma City Thunder,5,1,11,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,137,210,1
Luguentz Dort,Oklahoma City Thunder,5,0,52,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-230,-12,0
Chet Holmgren,Oklahoma City Thunder,5,0,49,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,11,-6,0
Alex Caruso,Oklahoma City Thunder,5,0,24,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,10,6,0
Alperen Sengun,Houston Rockets,5,0,9,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),9,44,81,0
Alperen Sengun,Houston Rockets,5,0,8,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,0,13,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,5,0,2,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),18,181,16,0
Reed Sheppard,Houston Rockets,6,4,39,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),27,125,248,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,6,4,20,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24,47,237,0
Reed Sheppard,Houston Rockets,6,3,18,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),7,76,6,0
Alex Caruso,Oklahoma City Thunder,6,3,12,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-225,-10,0
Alex Caruso,Oklahoma City Thunder,6,2,57,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8,39,80,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,6,2,47,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24,-45,243,0
Jabari Smith Jr.,Houston Rockets,6,2,28,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),6,-10,63,1
Alperen Sengun,Houston Rockets,6,1,55,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8,-86,-14,0
Jabari Smith Jr.,Houston Rockets,6,1,54,Alley Oop Layup shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),9,70,58,0
Alex Caruso,Oklahoma City Thunder,6,1,45,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-148,200,0
Cason Wallace,Oklahoma City Thunder,6,1,32,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,176,174,1
Kevin Durant,Houston Rockets,6,1,15,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),4,-34,34,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,6,0,59,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),19,-92,168,1
Kevin Durant,Houston Rockets,6,0,24,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),25,-9,257,0
Alperen Sengun,Houston Rockets,6,0,11,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-16,15,1
Jabari Smith Jr.,Houston Rockets,6,0,0,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),19,-197,-10,0
Luka Dončić,Los Angeles Lakers,1,11,39,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),13,-60,125,1
Draymond Green,Golden State Warriors,1,11,27,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),27,150,225,0
