PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
Kelly Oubre Jr.,Philadelphia 76ers,4,3,36,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,-27,267,0
Neemias Queta,Boston Celtics,4,3,24,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),1,7,16,1
Payton Pritchard,Boston Celtics,4,2,51,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),18,11,189,0
Derrick White,Boston Celtics,4,2,41,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24,237,42,0
VJ Edgecombe,Philadelphia 76ers,4,2,20,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),27,105,254,1
Derrick White,Boston Celtics,4,1,53,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,-9,268,1
Tyrese Maxey,Philadelphia 76ers,4,1,33,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),15,74,134,0
Derrick White,Boston Celtics,4,1,12,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),12,76,98,0
Tyrese Maxey,Philadelphia 76ers,4,0,46,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),1,12,13,0
Justin Edwards,Philadelphia 76ers,4,0,10,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,-80,254,0
Kelly Oubre Jr.,Philadelphia 76ers,4,0,8,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,0,0,1
Derrick White,Boston Celtics,4,0,1,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),38,-116,367,0
Neemias Queta,Boston Celtics,4,0,0,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),0,0,0,0
Cason Wallace,Oklahoma City Thunder,1,11,49,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-213,164,0
Stephen Curry,Golden State Warriors,1,11,29,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-11,21,1
Ajay Mitchell,Oklahoma City Thunder,1,11,17,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-230,1,1
Draymond Green,Golden State Warriors,1,10,59,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24,-13,241,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,10,49,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),13,-137,25,0
Quinten Post,Golden State Warriors,1,10,39,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-157,197,0
Chet Holmgren,Oklahoma City Thunder,1,10,23,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,-16,34,1
Draymond Green,Golden State Warriors,1,10,6,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-222,22,0
Chet Holmgren,Oklahoma City Thunder,1,9,51,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),11,6,118,1
Jonathan Kuminga,Golden State Warriors,1,9,40,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8,29,85,1
Jonathan Kuminga,Golden State Warriors,1,9,22,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-12,-8,1
Chet Holmgren,Oklahoma City Thunder,1,9,9,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-157,194,1
Stephen Curry,Golden State Warriors,1,8,54,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24,-5,248,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,8,38,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-216,133,1
Quinten Post,Golden State Warriors,1,8,19,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),27,164,215,0
Stephen Curry,Golden State Warriors,1,7,54,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,31,6,1
Isaiah Hartenstein,Oklahoma City Thunder,1,7,34,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),0,-4,7,1
Quinten Post,Golden State Warriors,1,7,19,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-224,24,1
Isaiah Hartenstein,Oklahoma City Thunder,1,6,59,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),3,23,28,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,6,38,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),19,31,190,0
Stephen Curry,Golden State Warriors,1,6,28,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24,20,242,0
Stephen Curry,Golden State Warriors,1,6,11,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,-34,16,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,6,5,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,-25,25,0
Jonathan Kuminga,Golden State Warriors,1,5,44,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,31,17,0
Jaylin Williams,Oklahoma City Thunder,1,5,37,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,141,220,1
Cason Wallace,Oklahoma City Thunder,1,5,13,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,-18,34,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,4,59,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),4,-44,22,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,4,38,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,13,11,0
Jimmy Butler III,Golden State Warriors,1,4,17,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-11,0,1
Isaiah Joe,Oklahoma City Thunder,1,4,3,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,196,158,0
Brandin Podziemski,Golden State Warriors,1,3,42,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),12,23,119,1
Buddy Hield,Golden State Warriors,1,3,22,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),9,76,51,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,1,3,5,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),14,-1,148,1
Buddy Hield,Golden State Warriors,1,2,41,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-87,227,0
